"objectid","station_name","exit_code","inc_crc","updated_at","lon","lat","geom_4326","geom_3414"
14628,DHOBY GHAUT MRT STATION,Exit A,"348F2D3D9B9B7760","20231019120510",103.84678797178553,1.2984450920481716,POINT (103.84678797178553 1.2984450920481716),POINT (29499.023500033796 31200.983799879326)
14629,SOMERSET MRT STATION,Exit B,"87BD98DB1E154EDA","20231019120510",103.838458985164,1.300766518771738,POINT (103.838458985164 1.300766518771738),POINT (28572.0809000356 31457.671799882944)
14630,ORCHARD MRT STATION,Exit 7,"4E4D642287D1546E","20231019120510",103.83217160123877,1.3031675344788836,POINT (103.83217160123877 1.3031675344788836),POINT (27872.351800034492 31723.16319988671)
14631,ORCHARD MRT STATION,Exit 3,"9C4A361AF93F75D2","20231019120510",103.83277079650809,1.304161137655932,POINT (103.83277079650809 1.304161137655932),POINT (27939.036800034333 31833.030699888186)
14632,CHOA CHU KANG MRT STATION,Exit A,"51E0066A5AD1C4F1","20231019120510",103.7445571353678,1.385431280875975,POINT (103.7445571353678 1.385431280875975),POINT (18121.9865000357 40819.652700014376)
14633,CHOA CHU KANG MRT STATION,Exit C,"2E2B70E0E2D25273","20231019120510",103.74451779877056,1.3857361854031247,POINT (103.74451779877056 1.3857361854031247),POINT (18117.61010003613 40853.367700014875)
14634,TAMPINES MRT STATION,Exit C,ACC2B4758E58EF1B,"20231019120510",103.9449039578947,1.353398312649212,POINT (103.9449039578947 1.353398312649212),POINT (40418.193400033706 37277.71059996468)
14635,BENCOOLEN MRT STATION,Exit C,B84D682A36C94724,"20231019120510",103.8492717038725,1.2976991176544332,POINT (103.8492717038725 1.2976991176544332),POINT (29775.44130003341 31118.49939987815)
14636,BEDOK RESERVOIR MRT STATION,Exit B,D9EF7EDA7B6AE00E,"20231019120510",103.93348718985506,1.3365549033286315,POINT (103.93348718985506 1.3365549033286315),POINT (39147.71100003452 35415.19419993847)
14637,KAKI BUKIT MRT STATION,Exit B,D3065772B4A8884B,"20231019120510",103.90914627626276,1.3349218903427178,POINT (103.90914627626276 1.3349218903427178),POINT (36438.82750003388 35234.526799935986)
14638,TAMPINES EAST MRT STATION,Exit A,CBB2A963BF33C276,"20231019120510",103.95454044078075,1.356460761667418,POINT (103.95454044078075 1.356460761667418),POINT (41490.609800033635 37616.39279996942)
14639,GEYLANG BAHRU MRT STATION,Exit A,"31AEB6AC99986A23","20231019120510",103.87155560756929,1.3215616987402512,POINT (103.87155560756929 1.3215616987402512),POINT (32255.40220003405 33757.127999915254)
14640,TAMPINES MRT STATION,Exit F,"2E179BE5B3B6B091","20231019120510",103.94265368187834,1.3541939276064219,POINT (103.94265368187834 1.3541939276064219),POINT (40167.75880003527 37365.67439996591)
14321,TANJONG KATONG MRT STATION,Exit 3,"85C5F46F4FC53B6B","20240717150056",103.89771528877114,1.300229200662339,POINT (103.89771528877114 1.300229200662339),POINT (35166.777000034876 31398.348699882077)
14322,FARMWAY LRT STATION,Exit A,B5FE598CC9473CDE,"20231019120510",103.88940744788181,1.3972003445750807,POINT (103.88940744788181 1.3972003445750807),POINT (34241.94140003326 42120.905500032684)
14323,KUPANG LRT STATION,Exit B,EC95D6994C36C7C2,"20231019120510",103.88113793620703,1.3981587914724123,POINT (103.88113793620703 1.3981587914724123),POINT (33321.65290003453 42226.86540003418)
14324,KUPANG LRT STATION,Exit A,"62EDCA2810CF78CE","20231019120510",103.88113916979948,1.3982841977600906,POINT (103.88113916979948 1.3982841977600906),POINT (33321.78990003389 42240.73220003435)
14325,THANGGAM LRT STATION,Exit B,"256206889802450A","20231019120510",103.87568683695845,1.3971924583386544,POINT (103.87568683695845 1.3971924583386544),POINT (32715.02050003457 42120.00150003268)
14326,THANGGAM LRT STATION,Exit A,"16EC7E9FB469AE26","20231019120510",103.87556636438234,1.3971980359239675,POINT (103.87556636438234 1.3971980359239675),POINT (32701.613500033483 42120.61800003271)
14327,CHENG LIM LRT STATION,Exit B,"1BE9F4E72D049751","20231019120510",103.89392033157345,1.3961869711232995,POINT (103.89392033157345 1.3961869711232995),POINT (34744.16810003335 42008.8642000311)
14328,CHENG LIM LRT STATION,Exit A,FC07F81DEF01BAAF,"20231019120510",103.89368487427694,1.3963732182354105,POINT (103.89368487427694 1.3963732182354105),POINT (34717.96430003409 42029.45780003143)
